Date ,Open ,High ,Low ,Close ,Daily Return
14-Dec-20,30735.15,30845.8,30624.25,30745.9,0.460874665
15-Dec-20,30805.4,30805.85,30345.75,30691.05,-0.17839777
16-Dec-20,30920.35,30932.25,30587.1,30698.4,0.02394835
17-Dec-20,30791.2,30945.2,30643.9,30847.05,0.484227191
18-Dec-20,30841.85,30854.05,30374.5,30714.65,-0.429214463
21-Dec-20,30595.8,30607.5,29201.2,29456.45,-4.096416531
22-Dec-20,29607.5,29711.15,28976.75,29625.95,0.575425756
23-Dec-20,29560.75,29941.4,29446,29883.3,0.868664127
24-Dec-20,30071.65,30545.85,30007.8,30402.2,1.736421346
28-Dec-20,30558.85,30929.05,30538.15,30880.95,1.574721566
29-Dec-20,31006.9,31359.35,31002.6,31322.5,1.429845908
30-Dec-20,31479.8,31510.25,31007.15,31303.05,-0.062095937
31-Dec-20,31295.9,31409.5,31088.1,31264.05,-0.124588499
01-Jan-21,31297.3,31384.35,31188.25,31225.85,-0.122185066
04-Jan-21,31485.15,31489.6,30893.65,31212.45,-0.042913163
05-Jan-21,31041.1,31767.65,30935.55,31722.25,1.6333226
06-Jan-21,31839.95,31982.3,31548.15,31797.9,0.238476148
07-Jan-21,32129.8,32177.4,31911.5,31956,0.497202645
08-Jan-21,32298.05,32298.05,32002.95,32084.2,0.401176618
11-Jan-21,32280.3,32288.45,31836.95,31998.9,-0.265862948
12-Jan-21,31835.05,32397.95,31725.85,32339,1.062849035
13-Jan-21,32546.6,32683.5,32148.25,32574.65,0.728686725
14-Jan-21,32526.7,32718.95,32442.35,32519.75,-0.168535963
15-Jan-21,32508.9,32544.8,32044.35,32246.8,-0.839336096
18-Jan-21,32275.15,32441.5,31650.9,31811.75,-1.349126115
19-Jan-21,32082.9,32464.95,31863.95,32424.85,1.927275299
20-Jan-21,32388.95,32607.45,32322.9,32543.7,0.366539861
21-Jan-21,32732.8,32842.3,31985.55,32186.9,-1.096371955
22-Jan-21,32088,32131.4,31119.9,31167.25,-3.167903712
25-Jan-21,31507.15,31697.55,31013.65,31198.4,0.099944653
27-Jan-21,31236.25,31287.05,30165.65,30284.55,-2.929156623
28-Jan-21,29812.3,30464.4,29687.7,30358.3,0.243523513
29-Jan-21,30700.65,31111.95,30254.55,30565.5,0.682515161
12-Feb-21,35736.6,36322.8,35700.25,36108.9,0
15-Feb-21,36501.4,37449.9,36405.1,37306.25,3.315941499
16-Feb-21,37492.6,37708.75,36762.75,37098.4,-0.55714525
17-Feb-21,37041.95,37331.45,36764.25,36910.95,-0.505277856
18-Feb-21,37088.75,37108.75,36367.45,36587,-0.877652837
19-Feb-21,36371.55,36656.2,35584.6,35841.6,-2.037335666
22-Feb-21,35874.3,36128.9,35097.55,35257.2,-1.630507567
23-Feb-21,35540.55,35680.85,34976,35116.95,-0.397791089
24-Feb-21,35205.4,36567.65,35060.65,36452.3,3.802579666
25-Feb-21,36763.15,37232.2,36494,36549,0.265278185
26-Feb-21,35806.65,35902.9,34658.7,34803.6,-4.775506854
01-Mar-21,35374.25,35581.1,34983.75,35296,1.414796171
02-Mar-21,35458.15,35747.05,35002.45,35419.7,0.350464642
03-Mar-21,35754.45,36455.15,35570.55,36368.05,2.677464801
04-Mar-21,35575.65,36316.4,35519.25,35802.5,-1.555073753
05-Mar-21,35458.5,35616.05,34893.25,35228.15,-1.604217583
08-Mar-21,35462.45,35827.3,35090.75,35275.75,0.135119216
09-Mar-21,35705.9,36077.8,35544.95,35865.65,1.672253602
10-Mar-21,36112.25,36176.9,35764.35,35938.3,0.202561504
12-Mar-21,36497.35,36497.35,35188.05,35496.65,-1.228911774
15-Mar-21,35544.25,35544.25,34430.65,35182.55,-0.884872234
16-Mar-21,35352,35405.05,34744.6,34804.6,-1.07425414
17-Mar-21,34905.05,35100.5,34126.85,34229.25,-1.653086086
18-Mar-21,34577.5,34759.85,33597.55,33856.8,-1.088104472
19-Mar-21,33590.4,34355.4,33361,34161.6,0.900262281
22-Mar-21,34088.4,34148.9,33389.15,33603.45,-1.633852044
23-Mar-21,33747.95,34360.05,33622,34184.4,1.728840342
24-Mar-21,33894.7,33970.65,33203.4,33293.25,-2.606890862
25-Mar-21,33420.75,33550.15,32415.25,33006.45,-0.861435877
26-Mar-21,33605.05,33610.65,33166.1,33318.2,0.94451236
30-Mar-21,33615.9,33990.8,33564.55,33875.1,1.671458842
15-Apr-21,31929.1,32187.05,31406.4,32112.85,0
16-Apr-21,32161.45,32325.15,31911.9,31977.45,-0.421638067
19-Apr-21,30993.45,31304.3,30405.65,31208.4,-2.404976007
20-Apr-21,31568.95,31731.65,30891,31112.7,-0.30664821
22-Apr-21,30763.5,31834.5,30555.25,31782.6,2.153140036
23-Apr-21,31490.6,32148.4,31377.15,31722.3,-0.189726454
26-Apr-21,32316.65,32603.7,32144.8,32275.15,1.742780315
27-Apr-21,32228.95,32807.1,32152.95,32735.35,1.425864791
28-Apr-21,32865.5,33777.7,32840.3,33722.8,3.016463853
29-Apr-21,33901.6,34287,33304.6,33714.5,-0.024612428
30-Apr-21,33112.4,33455.25,32663.4,32781.8,-2.766465467
03-May-21,32368.55,32566.6,31906.55,32465.75,-0.964102032
04-May-21,32610.4,33011.55,32191.4,32270.35,-0.601865042
05-May-21,32577.1,32862.15,32068.55,32783.7,1.590779152
06-May-21,32900.75,32956.35,32564,32827.8,0.134518068
07-May-21,33041.65,33259.15,32771.35,32904.5,0.233643436
10-May-21,33175.3,33297.6,33028.15,33142.4,0.723001413
11-May-21,32640.95,33154.3,32611.7,32872.2,-0.815269866
12-May-21,32717.65,32747.7,32352.3,32452.3,-1.277371153
14-May-21,32495.15,32622.65,32115.5,32169.55,-0.871278769
17-May-21,32437.85,33506.9,32318.7,33459.25,4.00907069
18-May-21,33893.1,34142.85,33730.45,33922.4,1.384221105
19-May-21,33717.1,33959.3,33608.25,33685.2,-0.699242978
20-May-21,33692.55,33833.7,33273.95,33334.55,-1.040961609
21-May-21,33559.8,34694.45,33559.75,34606.9,3.816910683
24-May-21,34869.3,35216.1,34528.3,34943.6,0.972927364
25-May-21,35095,35125.85,34410.4,34662,-0.805870031
26-May-21,34757.15,34897.95,34462.5,34684.2,0.064047083
27-May-21,34664.2,35220.8,34529.7,35095.05,1.184545124
28-May-21,35345.65,35436.65,34977.2,35141.45,0.132212378
11-Jun-21,35324.65,35344,34891.3,35047.4,0
14-Jun-21,34936.55,34995.15,34374.35,34950.6,-0.276197378
15-Jun-21,35038.05,35317.4,34917.9,35247.75,0.850199997
16-Jun-21,35196.25,35380,34916.2,35003.5,-0.692952032
17-Jun-21,34619.8,34882.4,34458.1,34605.4,-1.13731484
18-Jun-21,34735.15,34787.4,33908.95,34558,-0.136972842
21-Jun-21,34109.45,34927.65,33937.5,34871.3,0.906591817
22-Jun-21,35084.9,35281.9,34664.35,34745,-0.362188963
23-Jun-21,34911.85,34937.65,34525.45,34574,-0.492157145
24-Jun-21,34687.7,34935.3,34592.35,34827,0.731763753
25-Jun-21,34916.65,35491.95,34915.85,35364.65,1.543773509
28-Jun-21,35488.2,35576.95,35236.45,35359.45,-0.014703949
29-Jun-21,35320.45,35337.45,34913.7,35010.3,-0.987430517
30-Jun-21,35001.9,35214.9,34730.45,34772.2,-0.680085575
01-Jul-21,34866,34917.65,34650.95,34684,-0.253650905
02-Jul-21,34728.1,34894.45,34632.6,34809.9,0.362991581
05-Jul-21,35010.95,35234.3,34926.4,35212,1.155131155
06-Jul-21,35173.6,35807.45,35165.55,35579.15,1.042684312
07-Jul-21,35550.6,35795.75,35427.65,35771.3,0.540063492
08-Jul-21,35603.25,35811,35134.65,35274.1,-1.389941098
09-Jul-21,35163.75,35225.2,34859.9,35071.95,-0.573083367
12-Jul-21,35285.05,35394.3,35060.35,35198.9,0.361970178
13-Jul-21,35480.05,35727.85,35340.7,35673.4,1.34805349
14-Jul-21,35585.85,35804.05,35434.75,35668.25,-0.014436527
15-Jul-21,35757.45,35985.25,35625.7,35907.65,0.671185158
16-Jul-21,35977.95,35977.95,35674.75,35751.8,-0.434030074
19-Jul-21,35070.5,35347.05,34899.2,35079.2,-1.881303878
20-Jul-21,34791.15,34894.15,34357.35,34415.45,-1.892146913
22-Jul-21,34774.55,34989.1,34557.85,34677.3,0.760850141
23-Jul-21,34748.35,35088,34404.75,35034.4,1.029780289
26-Jul-21,34947.85,35138.2,34669.55,34949.7,-0.241762382
27-Jul-21,35029.3,35186.1,34713.55,34797.45,-0.435626057
28-Jul-21,34839.45,34841.55,34115.2,34532.9,-0.760256858
29-Jul-21,34740.3,34778.15,34495.2,34691.5,0.459272172
30-Jul-21,34698.75,34738.75,34445.4,34584.35,-0.308865284
13-Aug-21,36000.75,36233.3,35937.1,36169.35,0
16-Aug-21,36100.65,36261.55,36032.4,36094.5,-0.206943171
17-Aug-21,35935.05,35993.7,35611.85,35867.45,-0.629043206
18-Aug-21,36222.5,36248.9,35432,35554.5,-0.872518119
20-Aug-21,35146.5,35306.5,34926.5,35033.85,-1.464371599
23-Aug-21,35424.2,35427.4,34817.5,35124.4,0.258464314
24-Aug-21,35200.75,35795.3,35070,35712.1,1.673195841
25-Aug-21,35768.85,35910.3,35499.65,35586.25,-0.352401567
26-Aug-21,35485.95,35785.8,35411.8,35617.55,0.08795532
27-Aug-21,35559.75,35727.9,35359.25,35627.8,0.028777948
30-Aug-21,35781.05,36398.45,35721.9,36347.65,2.020472777
31-Aug-21,36367.4,36552.8,36216.2,36424.6,0.211705571
01-Sep-21,36591.45,36997.7,36487.15,36574.3,0.410985982
02-Sep-21,36588.4,36895.55,36469,36831.3,0.702679204
03-Sep-21,36883.65,37140,36563.2,36761.15,-0.190463003
06-Sep-21,36878.25,36923.65,36554.45,36592.35,-0.459180412
07-Sep-21,36558.85,36685.85,36151.95,36468.8,-0.337638878
08-Sep-21,36519.7,36855.9,36393.6,36768.2,0.820975738
